page,code,text,text_uk,text_en,text_ru
delivery,text33,Перерахування на розрахунковий рахунок,Перерахування на розрахунковий рахунок,Перерахування на розрахунковий рахунок,Перерахування на розрахунковий рахунок
delivery,text32,"Оплата післяплатою, при отриманні в транспортних компаніях: «Нова пошта» (при виборі цього способу оплати клієнт оплачує авансом вартість пересилки)","Оплата післяплатою, при отриманні в транспортних компаніях: «Нова пошта» (при виборі цього способу оплати клієнт оплачує авансом вартість пересилки)","Оплата післяплатою, при отриманні в транспортних компаніях: «Нова пошта» (при виборі цього способу оплати клієнт оплачує авансом вартість пересилки)","Оплата післяплатою, при отриманні в транспортних компаніях: «Нова пошта» (при виборі цього способу оплати клієнт оплачує авансом вартість пересилки)"
delivery,text31,Оплата готівкою на картку Visa через термінал поповнення,Оплата готівкою на картку Visa через термінал поповнення,Оплата готівкою на картку Visa через термінал поповнення,Оплата готівкою на картку Visa через термінал поповнення
delivery,text30,Перерахування на картку Visa через інтернет банкінг,Перерахування на картку Visa через інтернет банкінг,Перерахування на картку Visa через інтернет банкінг,Перерахування на картку Visa через інтернет банкінг
delivery,text29,Готівковий розрахунок (при отриманні замовлення в офісі),Готівковий розрахунок (при отриманні замовлення в офісі),Готівковий розрахунок (при отриманні замовлення в офісі),Готівковий розрахунок (при отриманні замовлення в офісі)
delivery,text28,Спосіб оплати товару і послуг для клієнтів з України:,Спосіб оплати товару і послуг для клієнтів з України:,Спосіб оплати товару і послуг для клієнтів з України:,Спосіб оплати товару і послуг для клієнтів з України:
delivery,text27,Оплата і доставка,Оплата і доставка,Оплата і доставка,Оплата і доставка
page_404,text26,Магазин,Магазин,Магазин,Магазин
page_404,text25,Поверніться на головну або перегляньте асортимент наших товарів,Поверніться на головну або перегляньте асортимент наших товарів,Поверніться на головну або перегляньте асортимент наших товарів,Поверніться на головну або перегляньте асортимент наших товарів
page_404,text24,Такої сторінки не знайдено,Такої сторінки не знайдено,Такої сторінки не знайдено,Такої сторінки не знайдено
footer,text23,Розробка,Розробка,Розробка,Розробка
footer,text22,Відправити,Відправити,Відправити,Відправити
footer,text21,Повідомлення,Повідомлення,Повідомлення,Повідомлення
footer,text20,Ім'я,Ім'я,Ім'я,Ім'я
footer,text19,Зв’язок,Зв’язок,Зв’язок,Зв’язок
footer,text18,Магазин,Магазин,Магазин,Магазин
footer,text17,Конструктор,Конструктор,Конструктор,Конструктор
footer,text16,Тест-драйв,Тест-драйв,Тест-драйв,Тест-драйв
footer,text15,Доставка і оплата,Доставка і оплата,Доставка і оплата,Доставка і оплата
footer,text14,Часті питання,Часті питання,Часті питання,Часті питання
footer,text13,Про нас,Про нас,Про нас,Про нас
footer,text12,Клієнтам,Клієнтам,Клієнтам,Клієнтам
footer,text11,Пн. - Пт.: 09:00 - 18:00,Пн. - Пт.: 09:00 - 18:00,Пн. - Пт.: 09:00 - 18:00,Пн. - Пт.: 09:00 - 18:00
header,text10,Шукати,Шукати,Шукати,Шукати
header,text9,Що шукаєте?,Що шукаєте?,Що шукаєте?,Що шукаєте?
header,text8,Пошук,Пошук,Пошук,Пошук
header,text7,Конструктор Велосипедів,Конструктор Велосипедів,Конструктор Велосипедів,Конструктор Велосипедів
header,text6,Тест-драйв,Тест-драйв,Тест-драйв,Тест-драйв
header,text5,Почати,Почати,Почати,Почати
header,text4,Конструктор Велосипедів,Конструктор Велосипедів,Конструктор Велосипедів,Конструктор Велосипедів
header,text3,Записатись,Записатись,Записатись,Записатись
header,text1,Тест-драйв,Тест-драйв,Тест-драйв,Тест-драйв
about,about_us,Про нас,Про нас,About us,О нас
about,certs,Сертифікати,Сертифікати,Certifications,сертификаты
about,our_partners,Партнери,Партнери,Partners,партнеры
about,about_name,Ім'я,Ім'я,Name,имя
about,about_phone,Телефон,Телефон,Phone,Телефон
about,about_email,Email,Email,Email,Email
about,about_message,Повідомлення,Повідомлення,Message,сообщение
header,header_about,Про нас,Про нас,About us,О нас
header,header_faq,Часті питання,Часті питання,Frequently Asked questions,Часто задаваемые вопросы
footer,footer_all_rights,Всі права захищено,Всі права захищено,all rights reserved,Все права защищены
test_drive,test_drive_test_drive,Тест-драйв,Тест-драйв,Test Drive,Тест-драйв
shop,shop_shop,Магазин,Магазин,Shop,магазин
search,search_results,Результати пошуку,Результати пошуку,Search Results,результаты поиска
profile,cabinet,Особистий кабінет,Особистий кабінет,Personal office,Личный кабинет
order,order_order,Оформлення замовлення,Оформлення замовлення,ordering,оформление заказа
order,step1,Крок 1. Контактні дані,Крок 1. Контактні дані,Step 1: Contact Information,Шаг 1. Контактные данные
order,step2,Крок 2. Спосіб доставки,Крок 2. Спосіб доставки,Step 2. Shipping Method,Шаг 2. Способ доставки
order,step3,Крок 3. Оплата,Крок 3. Оплата,Step 3. Payment,Шаг 3. Оплата
general,review,Поділіться своїм досвідом користуванням нашим товаром та оцінінь його!,Поділіться своїм досвідом користуванням нашим товаром та оцінінь його!,Share your experience with our product and otsinin it!,Поделитесь своим опытом пользованием нашим товаром и оцининь его!
index,index_feel,Відчуй переваги професіоналів,Відчуй переваги професіоналів,Benefit Professionals,Почувствуй преимущества профессионалов
index,index_all_assort,Весь асортимент,Весь асортимент,The entire range,весь ассортимент
header,header_construct,Склади свій власний електро-велосипед онлайн!,Склади свій власний електро-велосипед онлайн!,Starting your own electric bike online!,Составь свой собственный электро-велосипед онлайн!
index,index_our_velek,Наші велосипеди є одними з найпотужніших та найякісніших на ринку,Наші велосипеди є одними з найпотужніших та найякісніших на ринку,Our bikes are among the most powerful and highest quality on the market,Наши велосипеды одни из самых мощных и качественных на рынке
index,index_assort,У нашому асортименті ви можете знайти усі найнеобхідніші товари для вашого байку,У нашому асортименті ви можете знайти усі найнеобхідніші товари для вашого байку,In our assortment you can find all the most necessary products for your bike,В нашем ассортименте вы можете найти все необходимые товары для вашего басню
about,text_1,"ELEEK – це наступний крок у вело-еволюції. Протягом багатьох років у Тернополі функціонує електро-вело-майстерня, яка об’єднала під одним дахом справжніх професіоналів і просто фанатів легкого електротранспорту. Ми постійно розробляємо та тестуємо всілякі новинки, а також приймаємо активну участь в популяризації екотраспорту в Україні та за її межами.","ELEEK – це наступний крок у вело-еволюції. Протягом багатьох років у Тернополі функціонує електро-вело-майстерня, яка об’єднала під одним дахом справжніх професіоналів і просто фанатів легкого електротранспорту. Ми постійно розробляємо та тестуємо всілякі новинки, а також приймаємо активну участь в популяризації екотраспорту в Україні та за її межами.","Elika - is the next step in the evolution of cycling. For many years in Ternopil operates electric bike workshop, which brings together under one roof real professionals and a mild electric fans. We are constantly developing and testing various new products and take an active part in promoting ekotrasportu in Ukraine and abroad.","Элек - это следующий шаг в вело-эволюции. Уже много лет в городе Тернополе работает электро-вело-мастерская, которая объединила под одной крышей настоящих профессионалов и просто фанатов легкого электротранспорта. Мы постоянно разрабатываем и тестируем различные новинки, а также принимаем активное участие в популяризации екотраспорту в Украине и за ее пределами."
about,about_order,Надіслати,Надіслати,Order,Отправить
about,about_contacts,Зв'язок,Зв'язок,Contacts,Контакты
test_drive,test_drive_text1,"Відчуйте силу електровелосипеду перед покупкою. Заповніть форму на тест-драйв, та наш менеджер зв’яжеться з Вами.","Відчуйте силу електровелосипеду перед покупкою. Заповніть форму на тест-драйв, та наш менеджер зв’яжеться з Вами.",Unleash the power of electric bike before buying. Fill the test drayf and our manager will contact you.,"Почувствуйте силу электро-велосипеда перед покупкой. Заполните форму на тест-драйф, и наш менеджер свяжется с вами."
