id,name,content_type,codename
225,Can view Warehouse,56,view_warehouse
338,Can add Заявка на інформацію про товар,85,add_itemrequest
339,Can change Заявка на інформацію про товар,85,change_itemrequest
340,Can delete Заявка на інформацію про товар,85,delete_itemrequest
341,Can view Заявка на інформацію про товар,85,view_itemrequest
318,Can add замовлення,80,add_order
319,Can change замовлення,80,change_order
320,Can delete замовлення,80,delete_order
321,Can view замовлення,80,view_order
458,Can add емейл для сповіщень про замовлення,115,add_orderadditionalprice
459,Can change емейл для сповіщень про замовлення,115,change_orderadditionalprice
460,Can delete емейл для сповіщень про замовлення,115,delete_orderadditionalprice
461,Can view емейл для сповіщень про замовлення,115,view_orderadditionalprice
322,Can add Налаштування замовленя,81,add_orderconfig
323,Can change Налаштування замовленя,81,change_orderconfig
324,Can delete Налаштування замовленя,81,delete_orderconfig
325,Can view Налаштування замовленя,81,view_orderconfig
334,Can add емейл для сповіщень про замовлення,84,add_orderrecipientemail
335,Can change емейл для сповіщень про замовлення,84,change_orderrecipientemail
336,Can delete емейл для сповіщень про замовлення,84,delete_orderrecipientemail
337,Can view емейл для сповіщень про замовлення,84,view_orderrecipientemail
330,Can add статус замовленнь,83,add_orderstatus
331,Can change статус замовленнь,83,change_orderstatus
332,Can delete статус замовленнь,83,delete_orderstatus
333,Can view статус замовленнь,83,view_orderstatus
326,Can add оплата замовлення,82,add_payment
327,Can change оплата замовлення,82,change_payment
328,Can delete оплата замовлення,82,delete_payment
329,Can view оплата замовлення,82,view_payment
134,Can add watermark,34,add_watermark
135,Can change watermark,34,change_watermark
136,Can delete watermark,34,delete_watermark
137,Can view watermark,34,view_watermark
