itemid,attribute_name,value_value,id,item_attribute,value,price,currency,amount,proposition,description,description_uk,description_en,description_ru
4,колір захисту контролера,значення атрибута колір 4,136,34,60,99.00,UAH,,,,,,
4,атрибут 39,зірка 60т,137,35,3,0.00,UAH,,,,,,
4,колір захисту контролера,чорний,138,34,67,97.00,UAH,,,,,,
1,колір рами,чорний,139,2,67,0.00,UAH,,,,,,
1,колір рами,білий,140,2,56,0.00,UAH,,,,,,
1,опції,слікові покришки,141,1,78,800.00,UAH,,,,,,
2,опції,прикурювач 12v,142,10,80,200.00,UAH,,,,,,
2,опції,поворотні вогні,143,10,84,1000.00,UAH,,,,,,
2,опції,сигналізація та дистанційний запуск,144,10,85,1500.00,UAH,,,,,,
2,опції,gps трекер,145,10,86,1800.00,UAH,,,,,,
11,опції,usb для зарядки девайсів,146,36,83,200.00,UAH,,,,,,
11,опції,прикурювач 12v,147,36,80,200.00,UAH,,,,,,
11,опції,поворотні вогні,148,36,84,1000.00,UAH,,,,,,
11,опції,сигналізація та дистанційний запуск,149,36,85,1500.00,UAH,,,,,,
11,опції,gps трекер,150,36,86,1800.00,UAH,,,,,,
11,опції,зірка 41т,151,36,1,500.00,UAH,,,,,,
11,опції,зірка 50т,152,36,2,500.00,UAH,,,,,,
11,опції,зірка 60т,153,36,3,500.00,UAH,,,,,,
11,опції,дзеркала,154,36,82,900.00,UAH,,,,,,
11,опції,педальний привід,155,36,4,2500.00,UAH,,,,,,
11,задня зірка,зірка 41т,156,40,1,200.00,UAH,,,,,,
11,задня зірка,зірка 50т,157,40,2,200.00,UAH,,,,,,
11,задня зірка,зірка 60т,158,40,3,200.00,UAH,,,,,,
