itemid,attribute_name,value_value,id,item_attribute,value,price,currency,amount,proposition,description,description_uk,description_en,description_ru
3,атрибут 28,значення атрибута 47,94,23,48,3.00,UAH,,,,,,
3,атрибут колір 1,значення атрибута колір 4,95,19,55,61.00,UAH,,,,,,
3,опції,значення атрибута 46,96,24,47,31.00,UAH,,,,,,
3,атрибут колір 0,значення атрибута колір 0,97,21,66,5.00,UAH,,,,,,
3,опції,значення атрибута 19,98,24,20,84.00,UAH,,,,,,
3,атрибут колір 0,значення атрибута колір 0,99,21,71,61.00,UAH,,,,,,
3,атрибут колір 0,значення атрибута колір 2,100,21,63,62.00,UAH,,,,,,
3,опції,значення атрибута 12,101,24,13,96.00,UAH,,,,,,
4,опції,опція 1,102,25,88,74.00,UAH,,,,,,
4,опції,опція 2,103,25,89,594.00,UAH,,,,,,
4,опції,опція 3,104,25,90,357.00,UAH,,,,,,
4,опції,опція 4,105,25,91,359.00,UAH,,,,,,
4,атрибут 21,значення атрибута 13,106,27,14,40.00,UAH,,,,,,
4,атрибут колір 1,значення атрибута колір 2,107,26,58,31.00,UAH,,,,,,
4,атрибут 21,значення атрибута 18,108,27,19,43.00,UAH,,,,,,
4,атрибут колір 1,значення атрибута колір 4,109,26,60,18.00,UAH,,,,,,
4,атрибут 21,значення атрибута 12,110,27,13,49.00,UAH,,,,,,
4,атрибут колір 1,значення атрибута колір 2,111,26,63,77.00,UAH,,,,,,
4,атрибут 21,значення атрибута 19,112,27,20,67.00,UAH,,,,,,
4,атрибут колір 1,значення атрибута колір 0,113,26,56,48.00,UAH,,,,,,
4,атрибут 24,значення атрибута 8,114,29,9,55.00,UAH,,,,,,
4,атрибут колір 4,значення атрибута колір 2,115,28,73,83.00,UAH,,,,,,
4,атрибут 24,значення атрибута 45,116,29,46,0.00,UAH,,,,,,
4,атрибут колір 4,значення атрибута колір 0,117,28,51,67.00,UAH,,,,,,
4,атрибут 24,значення атрибута 34,118,29,35,84.00,UAH,,,,,,
4,атрибут колір 4,значення атрибута колір 3,119,28,59,34.00,UAH,,,,,,
4,атрибут 24,значення атрибута 30,120,29,31,86.00,UAH,,,,,,
4,атрибут 19,значення атрибута 31,121,31,32,62.00,UAH,,,,,,
4,атрибут колір 2,значення атрибута колір 4,122,30,55,74.00,UAH,,,,,,
4,атрибут 19,значення атрибута 39,123,31,40,80.00,UAH,,,,,,
4,атрибут колір 2,значення атрибута колір 0,124,30,66,16.00,UAH,,,,,,
4,атрибут 19,значення атрибута 4,125,31,5,23.00,UAH,,,,,,
4,атрибут колір 2,значення атрибута колір 1,126,30,72,59.00,UAH,,,,,,
4,атрибут 19,значення атрибута 11,127,31,12,14.00,UAH,,,,,,
4,атрибут 12,значення атрибута 0,128,33,1,64.00,UAH,,,,,,
4,атрибут колір 0,значення атрибута колір 0,129,32,56,31.00,UAH,,,,,,
4,атрибут 12,значення атрибута 48,130,33,49,55.00,UAH,,,,,,
4,атрибут колір 0,значення атрибута колір 3,131,32,59,72.00,UAH,,,,,,
4,атрибут 12,значення атрибута 28,132,33,29,88.00,UAH,,,,,,
4,атрибут колір 0,значення атрибута колір 4,133,32,60,49.00,UAH,,,,,,
4,атрибут колір 0,значення атрибута колір 0,134,32,71,28.00,UAH,,,,,,
